page,lcp,fcp,ttfb,cls,memory_mb
"dashboard",,1540,0.699999988079071,,
"dashboard",,1540,0.699999988079071,,
"upload",,352,0.5999999642372131,,
"upload",,352,0.5999999642372131,,
"search",,572,0.8999999761581421,,
"search",,572,0.8999999761581421,,
"chat-rag",,616,1.0999999642372131,,
"chat-rag",,616,1.0999999642372131,,
"relationships",,524,1.100000023841858,,
"relationships",,524,1.100000023841858,,
"monitoring",,632,2,,
"monitoring",,632,2,,
"automation",,444,0.800000011920929,,
"automation",,444,0.800000011920929,,
"validation-queue",,520,9.699999988079071,,
"validation-queue",,520,9.699999988079071,,
"document-groups",,484,0.699999988079071,,
"document-groups",,484,0.699999988079071,,
"kasse",,348,0.6000000238418579,,
"kasse",,348,0.6000000238418579,,
"spesen",,420,1.899999976158142,,
"spesen",,420,1.899999976158142,,
"streckengeschaeft",,672,6.300000011920929,,
"streckengeschaeft",,672,6.300000011920929,,
"streckengeschaeft-zm",,364,1.300000011920929,,
"streckengeschaeft-zm",,364,1.300000011920929,,
"finanzen",,472,1.5,,
"finanzen",,472,1.5,,
"finanzen-2025",,416,0.699999988079071,,
"finanzen-2025",,416,0.699999988079071,,
"finanzen-2024",,472,0.5999999642372131,,
"finanzen-2024",,472,0.5999999642372131,,
"kunden",,336,0.5999999642372131,,
"kunden",,336,0.5999999642372131,,
"lieferanten",,552,0.8999999761581421,,
"lieferanten",,552,0.8999999761581421,,
"personal",,524,1.4000000357627869,,
"personal",,524,1.4000000357627869,,
"business-entities",,496,0.7999999523162842,,
"business-entities",,496,0.7999999523162842,,
"privat",,428,0.699999988079071,,
"privat",,428,0.699999988079071,,
"privat-finanzen",,360,2.199999988079071,,
"privat-finanzen",,360,2.199999988079071,,
"privat-notfall",,552,1.399999976158142,,
"privat-notfall",,552,1.399999976158142,,
"admin-dashboard",,372,0.8999999761581421,,
"admin-dashboard",,372,0.8999999761581421,,
"admin-users",,452,0.8999999761581421,,
"admin-users",,452,0.8999999761581421,,
"admin-settings",,416,1.300000011920929,,
"admin-settings",,416,1.300000011920929,,
"admin-ocr-training",,624,0.7000000476837158,,
"admin-ocr-training",,624,0.7000000476837158,,
"admin-ocr-backends",,376,0.8999999761581421,,
"admin-ocr-backends",,376,0.8999999761581421,,
"admin-datev",,432,0.9000000357627869,,
"admin-datev",,432,0.9000000357627869,,
"admin-datev-config",,404,0.7000000476837158,,
"admin-datev-config",,404,0.7000000476837158,,
"admin-datev-export",,560,0.800000011920929,,
"admin-datev-export",,560,0.800000011920929,,
"admin-datev-history",,676,2.599999964237213,,
"admin-datev-history",,676,2.599999964237213,,
"admin-datev-vendors",,400,0.7000000476837158,,
"admin-datev-vendors",,400,0.7000000476837158,,
"admin-mahnungen",,380,0.6000000238418579,,
"admin-mahnungen",,380,0.6000000238418579,,
"admin-mahnungen-aktiv",,376,0.699999988079071,,
"admin-mahnungen-aktiv",,376,0.699999988079071,,
"admin-mahnungen-aufgaben",,376,1,,
"admin-mahnungen-aufgaben",,376,1,,
"admin-mahnungen-einstellungen",,536,0.699999988079071,,
"admin-mahnungen-einstellungen",,536,0.699999988079071,,
"admin-mahnungen-eskalation",,388,0.6000000238418579,,
"admin-mahnungen-eskalation",,388,0.6000000238418579,,
"admin-mahnungen-kanban",,384,0.699999988079071,,
"admin-mahnungen-kanban",,384,0.699999988079071,,
"admin-mahnungen-mahnstopp",,468,0.8999999761581421,,
"admin-mahnungen-mahnstopp",,468,0.8999999761581421,,
"admin-banking",,352,0.699999988079071,,
"admin-banking",,352,0.699999988079071,,
"admin-banking-accounts",,348,0.7999999523162842,,
"admin-banking-accounts",,348,0.7999999523162842,,
"admin-banking-import",,304,0.40000003576278687,,
"admin-banking-import",,304,0.40000003576278687,,
"admin-banking-payments",,368,1,,
"admin-banking-payments",,368,1,,
"admin-banking-reconciliation",,288,0.800000011920929,,
"admin-banking-reconciliation",,288,0.800000011920929,,
"admin-banking-skonto",,352,3.5,,
"admin-banking-skonto",,352,3.5,,
"admin-banking-transactions",,296,0.699999988079071,,
"admin-banking-transactions",,296,0.699999988079071,,
